 time            vin             Vr1             i(Vread)        hx              n1              n2              n3              n4              m1              m2              m3              m4              n.x9.xrstdp1.xr2.n1#ngap n.x9.xrstdp2.xr2.n1#ngap n.x9.xrstdp3.xr2.n1#ngap n.x9.xrstdp4.xr2.n1#ngap n.x9.xrstdp5.xr2.n1#ngap n.x9.xrstdp6.xr2.n1#ngap n.x9.xrstdp7.xr2.n1#ngap n.x9.xrstdp8.xr2.n1#ngap n.x9.xrstdp9.xr2.n1#ngap n.x9.xrstdp10.xr2.n1#ngap n.x9.xrstdp11.xr2.n1#ngap n.x9.xrstdp12.xr2.n1#ngap n.x9.xrstdp13.xr2.n1#ngap n.x9.xrstdp14.xr2.n1#ngap n.x9.xrstdp15.xr2.n1#ngap
 5.25600000e-07  1.41299940e+00  2.88610282e-03  8.06530331e-07  7.25865027e-03 -1.75491018e-06 -1.67793633e-07 -1.71078561e-06 -1.24099536e-07  1.25889130e-06 -5.79971597e-07  1.25889416e-06 -5.79837797e-07  9.39568475e-01  9.36566510e-01  9.39568734e-01  9.36566532e-01  9.65621831e-01  9.75021579e-01  9.65621822e-01  9.75021604e-01  9.39537188e-01  9.36623983e-01  9.39537186e-01  9.36624023e-01  9.65618034e-01  9.75041603e-01  9.65618036e-01 
 5.45600000e-07  1.41322555e+00  2.88610336e-03  8.06534566e-07  7.25867738e-03  2.21337397e-06  6.36976822e-07  2.26076535e-06  6.85063814e-07 -7.82925807e-07  1.04313769e-06 -7.82926593e-07  1.04300210e-06  9.39570641e-01  9.36568868e-01  9.39570900e-01  9.36568890e-01  9.65623531e-01  9.75023314e-01  9.65623523e-01  9.75023338e-01  9.39539354e-01  9.36626340e-01  9.39539353e-01  9.36626380e-01  9.65619735e-01  9.75043338e-01  9.65619737e-01 
 5.65600000e-07  1.41343212e+00  2.88610326e-03  8.06536137e-07  7.25870177e-03 -1.72667838e-06 -1.62095284e-07 -1.68174145e-06 -1.17813108e-07  1.24357994e-06 -5.68724861e-07  1.24358043e-06 -5.68590423e-07  9.39572654e-01  9.36570781e-01  9.39572913e-01  9.36570803e-01  9.65625331e-01  9.75024854e-01  9.65625322e-01  9.75024879e-01  9.39541368e-01  9.36628253e-01  9.39541367e-01  9.36628293e-01  9.65621534e-01  9.75044878e-01  9.65621536e-01 
 5.85600000e-07  1.41361912e+00  2.88610380e-03  8.06540282e-07  7.25872832e-03  2.18517040e-06  6.31152078e-07  2.23274524e-06  6.79646966e-07 -7.67893267e-07  1.03179641e-06 -7.67895360e-07  1.03166517e-06  9.39574819e-01  9.36573136e-01  9.39575078e-01  9.36573158e-01  9.65627032e-01  9.75026588e-01  9.65627023e-01  9.75026612e-01  9.39543533e-01  9.36630606e-01  9.39543532e-01  9.36630647e-01  9.65623235e-01  9.75046612e-01  9.65623238e-01 
 6.05600000e-07  1.41378659e+00  2.88610370e-03  8.06541954e-07  7.25875274e-03 -1.69884195e-06 -1.56475660e-07 -1.65311017e-06 -1.11622957e-07  1.22849943e-06 -5.57629641e-07  1.22849897e-06 -5.57498622e-07  9.39576833e-01  9.36575052e-01  9.39577093e-01  9.36575074e-01  9.65628831e-01  9.75028129e-01  9.65628822e-01  9.75028153e-01  9.39545548e-01  9.36632522e-01  9.39545547e-01  9.36632563e-01  9.65625033e-01  9.75048154e-01  9.65625036e-01 
 6.25600000e-07  1.41393452e+00  2.88610424e-03  8.06546002e-07  7.25878057e-03  2.15737056e-06  6.25412894e-07  2.20511843e-06  6.74294253e-07 -7.53085428e-07  1.02061404e-06 -7.53086455e-07  1.02048344e-06  9.39578997e-01  9.36577403e-01  9.39579256e-01  9.36577425e-01  9.65630533e-01  9.75029861e-01  9.65630524e-01  9.75029885e-01  9.39547712e-01  9.36634873e-01  9.39547711e-01  9.36634913e-01  9.65626735e-01  9.75049886e-01  9.65626738e-01 
 6.45600000e-07  1.41406295e+00  2.88610415e-03  8.06547736e-07  7.25880410e-03 -1.67140314e-06 -1.50940225e-07 -1.62489268e-06 -1.05527253e-07  1.21363867e-06 -5.46691154e-07  1.21364383e-06 -5.46561837e-07  9.39581012e-01  9.36579323e-01  9.39581272e-01  9.36579345e-01  9.65632330e-01  9.75031404e-01  9.65632321e-01  9.75031428e-01  9.39549728e-01  9.36636792e-01  9.39549727e-01  9.36636832e-01  9.65628533e-01  9.75051428e-01  9.65628535e-01 
 6.65600000e-07  1.41417189e+00  2.88610469e-03  8.06551720e-07  7.25883101e-03  2.12996641e-06  6.19753646e-07  2.17788020e-06  6.69018496e-07 -7.38496588e-07  1.00958833e-06 -7.38493882e-07  1.00945980e-06  9.39583175e-01  9.36581671e-01  9.39583435e-01  9.36581693e-01  9.65634033e-01  9.75033134e-01  9.65634024e-01  9.75033159e-01  9.39551891e-01  9.36639139e-01  9.39551890e-01  9.36639180e-01  9.65630236e-01  9.75053159e-01  9.65630238e-01 
 6.85600000e-07  1.41426136e+00  2.88610460e-03  8.06553554e-07  7.25885530e-03 -1.64435706e-06 -1.45483677e-07 -1.59708670e-06 -9.95278352e-08  1.19899942e-06 -5.35905237e-07  1.19900096e-06 -5.35777461e-07  9.39585191e-01  9.36583594e-01  9.39585451e-01  9.36583615e-01  9.65635830e-01  9.75034679e-01  9.65635821e-01  9.75034703e-01  9.39553908e-01  9.36641061e-01  9.39553906e-01  9.36641102e-01  9.65632033e-01  9.75054703e-01  9.65632035e-01 
 7.05600000e-07  1.41433139e+00  2.88610514e-03  8.06557475e-07  7.25888124e-03  2.10295059e-06  6.14174876e-07  2.15102083e-06  6.63799415e-07 -7.24127859e-07  9.98713016e-07 -7.24124176e-07  9.98587500e-07  9.39587353e-01  9.36585939e-01  9.39587613e-01  9.36585960e-01  9.65637533e-01  9.75036408e-01  9.65637524e-01  9.75036432e-01  9.39556070e-01  9.36643405e-01  9.39556068e-01  9.36643446e-01  9.65633736e-01  9.75056433e-01  9.65633738e-01 
